example_id                                                   | status | run_time        |
./spec/requests/users_request_spec.rb[1:5:1]                 | passed | 0.07566 seconds |
./spec/requests/users_request_spec.rb[1:5:2]                 | passed | 0.06045 seconds |
./spec/requests/users_request_spec.rb[1:5:3]                 | passed | 0.07924 seconds |
./spec/requests/users_request_spec.rb[1:5:4]                 | passed | 0.13434 seconds |
./spec/requests/users_request_spec.rb[1:6:1]                 | passed | 0.05973 seconds |
./spec/requests/users_request_spec.rb[1:6:2]                 | passed | 0.08713 seconds |
./spec/requests/users_request_spec.rb[1:6:3]                 | passed | 0.08141 seconds |
./spec/requests/users_request_spec.rb[1:6:4]                 | passed | 0.08596 seconds |
./spec/requests/users_request_spec.rb[1:7:1]                 | passed | 0.05464 seconds |
./spec/requests/users_request_spec.rb[1:7:2]                 | passed | 0.08598 seconds |
./spec/requests/users_request_spec.rb[1:7:3]                 | passed | 0.09068 seconds |
./spec/requests/users_request_spec.rb[1:8:1]                 | passed | 0.07958 seconds |
./spec/requests/users_request_spec.rb[1:9:1]                 | passed | 0.06234 seconds |
./spec/system/following_spec.rb[1:1]                         | passed | 0.68606 seconds |
./spec/system/following_spec.rb[1:2]                         | passed | 0.73555 seconds |
./spec/system/following_spec.rb[1:3]                         | passed | 0.74558 seconds |
./spec/system/following_spec.rb[1:4]                         | passed | 0.61465 seconds |
./spec/system/login_spec.rb[1:1:1]                           | passed | 0.17696 seconds |
./spec/system/login_spec.rb[1:2:1]                           | passed | 0.16006 seconds |
./spec/system/login_spec.rb[1:3:1]                           | passed | 0.16122 seconds |
./spec/system/login_spec.rb[1:3:2]                           | passed | 0.21657 seconds |
./spec/system/micropost_interface_spec.rb[1:1:1]             | passed | 1.01 seconds    |
./spec/system/micropost_interface_spec.rb[1:1:2]             | passed | 2.32 seconds    |
./spec/system/micropost_interface_spec.rb[1:2:1]             | passed | 0.41304 seconds |
./spec/system/static_pages_layouts_spec.rb[1:1:1]            | passed | 0.05345 seconds |
./spec/system/static_pages_layouts_spec.rb[1:1:2]            | passed | 0.22101 seconds |
./spec/system/static_pages_layouts_spec.rb[1:2:1]            | passed | 0.05336 seconds |
./spec/system/static_pages_layouts_spec.rb[1:3:1]            | passed | 0.0527 seconds  |
./spec/system/static_pages_layouts_spec.rb[1:4:1]            | passed | 0.05756 seconds |
./spec/system/users_index.rb[1:1]                            | passed | 1.23 seconds    |
./spec/system/users_index.rb[1:2]                            | passed | 1.19 seconds    |
./spec/system/users_index.rb[1:3]                            | failed | 5.93 seconds    |
./spec/system/users_signup_spec.rb[1:1:1]                    | passed | 2.09 seconds    |
./spec/system/users_signup_spec.rb[1:2:1]                    | passed | 0.11365 seconds |
./spec/system/users_signup_spec.rb[1:2:2]                    | passed | 0.11348 seconds |
